Feature,Model,Accuracy,Precision,Recall,F1
Histogram,SVM,0.9977151561309977,0.9950166112956811,1.0,0.9975020815986678
Histogram,Random Forest,0.9977151561309977,0.9950166112956811,1.0,0.9975020815986678
Sobel,Random Forest,0.9900990099009901,0.9899665551839465,0.988313856427379,0.9891395154553049
HOG,SVM,0.9870525514089871,0.985,0.986644407345576,0.9858215179316097
Raw Pixels,SVM,0.9832444782939832,0.9768595041322314,0.986644407345576,0.9817275747508306
HOG,Random Forest,0.9725818735719726,0.9861830742659758,0.9532554257095158,0.969439728353141
HOG,Logistic Regression,0.9695354150799695,0.9604612850082372,0.9732888146911519,0.966832504145937
Raw Pixels,Random Forest,0.968012185833968,0.9603305785123967,0.9699499165275459,0.9651162790697675
Histogram,Logistic Regression,0.9634424980959635,0.9630252100840336,0.9565943238731218,0.9597989949748744
Sobel,SVM,0.9428789032749428,0.9185303514376997,0.9599332220367279,0.9387755102040817
GLCM,Random Forest,0.9383092155369384,0.9404761904761905,0.9232053422370617,0.9317607413647851
Raw Pixels,Logistic Regression,0.904036557501904,0.8896210873146623,0.9015025041736227,0.8955223880597015
LBP,SVM,0.869002284843869,0.8765432098765432,0.8297161936560935,0.8524871355060034
GLCM,SVM,0.8552932216298553,0.8495726495726496,0.8297161936560935,0.839527027027027
LBP,Random Forest,0.856054836252856,0.8867924528301887,0.7846410684474123,0.8325952170062002
GLCM,Logistic Regression,0.7989337395277989,0.7933450087565674,0.7562604340567612,0.7743589743589744
Canny,SVM,0.683929931454684,0.6548821548821548,0.6494156928213689,0.6521374685666387
Sobel,Logistic Regression,0.6770753998476771,0.6767676767676768,0.5592654424040067,0.6124314442413162
LBP,Logistic Regression,0.6907844630616908,0.7218390804597701,0.5242070116861436,0.6073500967117988
Canny,Random Forest,0.6298552932216298,0.6084452975047985,0.5292153589315526,0.5660714285714286
Canny,Logistic Regression,0.5864432597105864,0.5619469026548672,0.4240400667779633,0.483349191246432
